GIORNO_RIFERIMENTO;C1_A1;C1_B1;C1_C1;C1_D1;C1_E1;C1_F1;C1_A2;C1_B2;C1_C2;C1_D2;C1_E2;C1_F2;C1_A3;C1_B3;C1_C3;C1_D3;C1_E3;C1_F3;C2;C4;T1_1;T1_2;T1_3
05/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.14521181;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.17671984;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21194378;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
06/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.14521181;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.17671984;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.26200172;0.00000001;0.24441402;0.29401604;0.00000001
07/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.14521181;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.26200172;0.00000001;0.24441402;0.00000001;0.00000001
08/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.15243231;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.18550703;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.22248245;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
09/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.15243231;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.18550703;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.22248245;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
10/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.15243231;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.18550703;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.22248245;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
11/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.15243231;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.18550703;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.22248245;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
12/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.15243231;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.18550703;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.22248245;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
13/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.15243231;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.18550703;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.26200172;0.00000001;0.24441402;0.29401604;0.00000001
14/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.15243231;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.26200172;0.00000001;0.24441402;0.00000001;0.00000001
